"catalogNumber","verbatimCountry","Country","verbatimStateProvince","StateProvince","verbatimCounty","County","verbatimMunicipality","Municipality"
"4349","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,"Black Hawk"
"4346","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,"Black Hawk"
"4350","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,"Black Hawk"
"4348","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,"Black Hawk"
"4347","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,"Black Hawk"
"4351","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,"Black Hawk"
"3786","USA","United States","Iowa","Colorado","Blackhawk Co.","Gilpin",,"Black Hawk"
"3787","USA","United States","Iowa","Colorado","Blackhawk Co.","Gilpin",,"Black Hawk"
