"catalogNumber","Genus","standardGenus","family","standardFamily","authority"
"1710","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1709","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1491","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1489","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1483","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1708","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1714","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1706","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1488","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1487","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3850","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4009","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1486","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4008","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1484","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1726","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4011","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1549","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1548","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1452","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4010","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4007","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1720","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1719","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1718","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1712","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1541","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1713","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4012","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3895","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1540","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1717","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1721","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1716","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1715","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1722","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1485","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3894","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"2110","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1704","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1461","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1705","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1460","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3922","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"2111","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1459","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1468","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1457","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1467","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1456","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1455","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"2618","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"2911","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"2889","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1454","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3917","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1453","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1458","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1702","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1482","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1480","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1479","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1478","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1727","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1743","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1703","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3923","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1476","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3926","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1475","Microtus","Microtus","Cricetidae","Muridae","ITIS"
