"catalogNumber","Genus","standardGenus","family","standardFamily","authority"
"3789","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4177","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3888","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5881","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5498","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5773","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3322","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3703","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2349","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2277","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4168","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3961","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5778","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4163","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2729","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3788","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3362","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4258","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4259","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4212","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5715","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2551","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3666","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2553","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4300","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3364","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5517","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3363","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3518","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3361","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3360","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3359","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3819","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3820","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5508","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3649","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3821","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3886","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3887","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5477","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5146","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4395","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3634","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2681","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5391","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"28","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2688","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3613","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4394","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3608","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2474","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2692","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3912","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2475","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2476","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5725","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5800","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5732","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3147","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5799","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3643","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3552","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3553","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2728","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4159","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5145","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5787","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4393","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5788","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5789","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3115","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5967","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4861","Oryzomys","Oryzomys","Cricetidae","Muridae","ITIS"
"2742","Oryzomys","Oryzomys","Cricetidae","Muridae","ITIS"
"4997","Oryzomys","Oryzomys","Cricetidae","Muridae","ITIS"
"4853","Oryzomys","Oryzomys","Cricetidae","Muridae","ITIS"
"4854","Oryzomys","Oryzomys","Cricetidae","Muridae","ITIS"
"4855","Oryzomys","Oryzomys","Cricetidae","Muridae","ITIS"
"4787","Oryzomys","Oryzomys","Cricetidae","Muridae","ITIS"
"4780","Oryzomys","Oryzomys","Cricetidae","Muridae","ITIS"
"1507","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1504","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1509","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3908","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1505","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1514","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1513","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1506","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1508","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3513","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3169","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1495","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4764","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3514","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4765","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1503","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4763","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1512","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4753","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1500","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1501","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3168","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1502","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1081","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1490","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4809","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3487","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3485","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5150","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3647","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3648","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1471","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1470","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3477","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4805","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3486","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3476","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4804","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1466","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1465","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1464","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3475","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3474","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4813","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4814","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4815","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4816","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4808","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1481","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3511","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4766","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4773","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4774","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5444","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3507","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4777","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3688","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3689","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1472","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3697","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3512","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4790","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4791","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3698","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3701","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4792","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3173","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3702","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4801","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3909","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3690","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3572","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3636","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"194","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3587","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3603","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6209","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4723","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4724","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3911","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3589","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3633","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3590","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3571","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3570","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3569","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4727","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3568","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4734","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3635","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3551","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1567","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5054","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3601","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3600","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3598","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3597","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3596","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4692","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4693","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4694","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3588","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4701","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6139","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3595","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3594","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3593","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"195","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5878","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3592","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4712","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3591","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5053","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3517","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4735","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1534","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1533","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1532","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1531","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1530","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1529","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1528","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1536","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1527","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1078","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3519","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1080","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3520","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3521","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4752","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3522","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3523","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3524","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1079","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4817","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4736","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3642","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6140","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1551","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1550","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4737","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4738","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3676","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1535","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3677","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3910","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3550","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5149","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3515","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1539","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5445","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1538","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1537","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3542","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1422","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4951","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6143","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6160","Peromyscus","Peromyscus","Heteromyidae","Muridae","ITIS"
"3717","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"18","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3444","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3443","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4952","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3442","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4889","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3440","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6157","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"19","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3720","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"20","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"21","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3724","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"22","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"23","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"24","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"25","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3441","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4953","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4847","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6145","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6146","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3456","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3455","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4885","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4887","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1378","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4890","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3454","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"26","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5930","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6149","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6150","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6151","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"17","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6153","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6154","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6155","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6156","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4888","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1174","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4930","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4929","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4921","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4920","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4762","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4914","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1675","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6170","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4950","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5421","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3375","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3885","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1175","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3884","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3855","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5420","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3883","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3882","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3389","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5109","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5424","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3499","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6142","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1114","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1115","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"27","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4944","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3739","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3503","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4943","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3502","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4931","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3500","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4761","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3498","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3758","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6167","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3769","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5108","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3379","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4942","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4936","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1112","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1813","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4843","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6144","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1438","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1437","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1436","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4864","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3706","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4835","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4836","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3668","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4838","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1440","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4846","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1426","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1425","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4848","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1421","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1420","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1418","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1417","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1416","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4837","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4976","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3473","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5151","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3652","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3653","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5476","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4825","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4827","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5152","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1439","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4977","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"3458","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1448","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4975","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4856","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5839","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5224","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4967","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4863","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4966","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4965","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4978","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1090","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1085","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5056","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1086","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1087","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4870","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1088","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4873","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4876","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1415","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1089","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1398","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4878","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4879","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4881","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4882","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4883","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"1091","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"5235","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4884","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"6141","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4877","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4850","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
"4818","Peromyscus","Peromyscus","Cricetidae","Muridae","ITIS"
