"catalogNumber","verbatimCountry","Country","verbatimStateProvince","StateProvince","verbatimCounty","County","verbatimIslandGroup","IslandGroup","verbatimIsland","Island"
"4349","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,,,
"4346","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,,,
"4350","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,,,
"4348","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,,,
"4347","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,,,
"4351","USA","United States","Iowa","Colorado","Black Hawk Co.","Gilpin",,,,
"3786","USA","United States","Iowa","Colorado","Blackhawk Co.","Gilpin",,,,
"3787","USA","United States","Iowa","Colorado","Blackhawk Co.","Gilpin",,,,
