"catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"3972",,"North America",,
"3993",,"North America",,
"3992",,"North America",,
"3953",,"North America",,
"3952",,"North America",,
"3991",,"North America",,
"3969",,"North America",,
"4098",,"North America",,
"4083",,"North America",,
"4084",,"North America",,
"4085",,"North America",,
"4086",,"North America",,
"4088",,"North America",,
"4090",,"North America",,
"4091",,"North America",,
"4092",,"North America",,
"4093",,"North America",,
"4094",,"North America",,
"4095",,"North America",,
"4132",,"North America",,
"4097",,"North America",,
"4087",,"North America",,
"4099",,"North America",,
"4100",,"North America",,
"4101",,"North America",,
"4102",,"North America",,
"4103",,"North America",,
"4104",,"North America",,
"4105",,"North America",,
"4106",,"North America",,
"4107",,"North America",,
"4108",,"North America",,
"4116",,"North America",,
"4123",,"North America",,
"4096",,"North America",,
"4126",,"North America",,
"4117",,"North America",,
"4120",,"North America",,
"4121",,"North America",,
"4122",,"North America",,
"4129",,"North America",,
"4118",,"North America",,
"4127",,"North America",,
"4119",,"North America",,
"4089",,"North America",,
"4124",,"North America",,
"4131",,"North America",,
"4130",,"North America",,
"4128",,"North America",,
"3862",,"North America",,
"3866",,"North America",,
"1932","NA","North America",,
"2169","NA","North America",,
"1935","NA","North America",,
"1934","NA","North America",,
"2168","NA","North America",,
"2167","NA","North America",,
"2166","NA","North America",,
"1933","NA","North America",,
"1124","NA","North America",,
"2179","NA","North America",,
"1972","NA","North America",,
"2123","NA","North America",,
"3390","NA","North America",,
"6190","NA","North America",,
"2931","NA","North America",,
"1343","NA","North America",,
"1342","NA","North America",,
"1341","NA","North America",,
"1340","NA","North America",,
"1339","NA","North America",,
"1337","NA","North America",,
"1318","NA","North America",,
"1321","NA","North America",,
"1320","NA","North America",,
"1322","NA","North America",,
"1319","NA","North America",,
"1324","NA","North America",,
"1344","NA","North America",,
"1317","NA","North America",,
"1338","NA","North America",,
"1328","NA","North America",,
"1325","NA","North America",,
"1326","NA","North America",,
"1323","NA","North America",,
"1327","NA","North America",,
"1335","NA","North America",,
"1162","NA","North America",,
"1316","NA","North America",,
"1315","NA","North America",,
"1309","NA","North America",,
"1314","NA","North America",,
"1333","NA","North America",,
"1336","NA","North America",,
"1334","NA","North America",,
"1332","NA","North America",,
"1331","NA","North America",,
"1310","NA","North America",,
"1311","NA","North America",,
"1312","NA","North America",,
"1330","NA","North America",,
"1329","NA","North America",,
"1313","NA","North America",,
"1346","NA","North America",,
"1345","NA","North America",,
"1306","NA","North America",,
"1307","NA","North America",,
"1308","NA","North America",,
"4321","NA","North America",,
"1731","NA","North America",,
"1727","NA","North America",,
"1728","NA","North America",,
"1729","NA","North America",,
"1730","NA","North America",,
"4407","NA","North America",,
"4387","NA","North America",,
"4401","NA","North America",,
"4409","NA","North America",,
"4241","NA","North America",,
"4405","NA","North America",,
"4403","NA","North America",,
"4236","NA","North America",,
"4237","NA","North America",,
"4238","NA","North America",,
"4239","NA","North America",,
"4240","NA","North America",,
"4404","NA","North America",,
"4244","NA","North America",,
"4243","NA","North America",,
"4242","NA","North America",,
"3236","NA","North America",,
"4402","NA","North America",,
"4406","NA","North America",,
"3443","NA","North America",,
"4408","NA","North America",,
"4411","NA","North America",,
"4410","NA","North America",,
"4233","NA","North America",,
"4234","NA","North America",,
"4235","NA","North America",,
"3435","NA","North America",,
"3436","NA","North America",,
"3437","NA","North America",,
"3438","NA","North America",,
"3439","NA","North America",,
"3440","NA","North America",,
"3441","NA","North America",,
"4388","NA","North America",,
"4391","NA","North America",,
"3238","NA","North America",,
"4389","NA","North America",,
"4390","NA","North America",,
"3445","NA","North America",,
"3442","NA","North America",,
"4392","NA","North America",,
"4393","NA","North America",,
"4394","NA","North America",,
"4395","NA","North America",,
"3444","NA","North America",,
"3237","NA","North America",,
"3239","NA","North America",,
"6133","NA","North America",,
"3221","NA","North America",,
"6007","NA","North America",,
"6006","NA","North America",,
"5612","NA","North America",,
"6008","NA","North America",,
"5687","NA","North America",,
"3467","NA","North America",,
"3534","NA","North America",,
"3508","NA","North America",,
"3459","NA","North America",,
"3460","NA","North America",,
"3461","NA","North America",,
"3462","NA","North America",,
"3463","NA","North America",,
"3464","NA","North America",,
"3465","NA","North America",,
"3466","NA","North America",,
"3513","NA","North America",,
"3470","NA","North America",,
"3471","NA","North America",,
"3514","NA","North America",,
"3535","NA","North America",,
"3472","NA","North America",,
"3473","NA","North America",,
"3474","NA","North America",,
"3475","NA","North America",,
"3476","NA","North America",,
"3477","NA","North America",,
"3509","NA","North America",,
"3510","NA","North America",,
"3512","NA","North America",,
"3469","NA","North America",,
"3468","NA","North America",,
"3511","NA","North America",,
"3526","NA","North America",,
"3525","NA","North America",,
"3516","NA","North America",,
"3515","NA","North America",,
"5986","NA","North America",,
"6188","NA","North America",,
"5985","NA","North America",,
"5987","NA","North America",,
"5988","NA","North America",,
"5989","NA","North America",,
"5990","NA","North America",,
"5984","NA","North America",,
"6078","NA","North America",,
"6072","NA","North America",,
"6073","NA","North America",,
"6076","NA","North America",,
"6075","NA","North America",,
"6077","NA","North America",,
"6074","NA","North America",,
"3358","NA","North America",,
"3356","NA","North America",,
"3354","NA","North America",,
"3355","NA","North America",,
"3357","NA","North America",,
"6087","NA","North America",,
"6092","NA","North America",,
"5611","NA","North America",,
"5631","NA","North America",,
"5628","NA","North America",,
"6084","NA","North America",,
"5629","NA","North America",,
"6090","NA","North America",,
"6091","NA","North America",,
